"","genes","PPEE","PPDE","PostFC","RealFC","Direction","WTL1.genes.results","WTL2.genes.results","WTL3.genes.results","WTD1.genes.results","WTD2.genes.results","WTD3.genes.results"
"6","gene-ACX60_RS00030_ACX60_RS00030",0.00152050544332494,0.998479494556675,1.87943008152985,1.88340612318219,"D Over L",127.777359082084,90.0912328035078,130.050563071584,160.903682367699,247.258092461056,247.137794173658
"18","gene-ACX60_RS00090_ACX60_RS00090",3.96503063559983e-06,0.999996034969364,0.380229018061849,0.380143246209452,"D Over L",3680.11206814141,4559.53218329839,3127.48235726607,975.755686251583,1917.8161844921,1427.545942661
"35","gene-ACX60_RS00175_ACX60_RS00175",7.88634782855624e-06,0.999992113652171,1.84617299315033,1.84988736844574,"D Over L",119.745639368353,136.998238312772,101.602002399675,222.881397057479,182.500020626017,257.543596033601
"45","gene-ACX60_RS00225_ACX60_RS00225",0,1,0.376468298540978,0.376318941080731,"D Over L",2099.92962697185,2034.12601668746,2433.36795747221,912.979412545608,1004.33882318705,554.10894904199
"52","gene-ACX60_RS00260_ACX60_RS00260",0.00205962087641653,0.997940379123583,0.191372497387729,0.191124181928226,"D Over L",1470.53486395038,1227.02769967092,2425.23979728024,359.947496852185,584.000066003256,35.1195812773092
"54","gene-ACX60_RS00270_ACX60_RS00270",0.0210715871665397,0.97892841283346,0.375198310150042,0.374557652964577,"D Over L",589.23616445281,334.305483708884,610.628034422046,212.154484899632,240.193575533597,122.268171854336
"75","gene-ACX60_RS00375_ACX60_RS00375",0.000104790136071342,0.999895209863929,3.52647312534211,3.59564155440785,"D Over L",19.7142211155215,16.3802241460923,21.3364205039317,47.6751651459847,60.0483938833993,98.8551176694631
"76","gene-ACX60_RS00380_hutU",0,1,11.2450067822193,11.2465979168917,"D Over L",3072.49786867091,4070.48570030394,2986.08285052644,49144.7521116097,25229.744786931,39543.3477930177
"77","gene-ACX60_RS00385_hutH",0,1,15.5297443031919,15.5337764535352,"D Over L",2016.69180448409,1865.85644136852,1786.16320218628,35467.9391103553,20350.5184290328,32238.4748873374
"78","gene-ACX60_RS00390_ACX60_RS00390",0,1,18.764574506034,18.7755658040027,"D Over L",922.917610741453,754.979422006255,864.633040421233,19860.2819206886,12203.952992185,15673.7390515399
"79","gene-ACX60_RS00395_hutI",0,1,17.75245780927,17.765249228498,"D Over L",660.061329201166,710.306083426004,689.877596293792,12952.1504910354,10340.0979428238,13309.0205788677
"80","gene-ACX60_RS00400_hutG",0,1,25.528632837019,25.5774707957938,"D Over L",223.427839309244,326.859927278842,239.780725663233,6336.02944790137,5460.8715849256,8411.79007853181
