"","genes","PPEE","PPDE","PostFC","RealFC","Direction","BlsAL1.genes.results","BlsAL2.genes.results","BlsAL3.genes.results","BlsAD1.genes.results","BlsAD2.genes.results","BlsAD3.genes.results"
"1","gene-ACX60_RS00005_dnaA",NA,NA,0.752034267791983,0.751928820559092,"D Over L",1271.42092853328,1383.0322476044,1030.86048704476,1001.00594670937,821.952675992128,948.127491310196
"2","gene-ACX60_RS00010_dnaN",0.949955675198952,0.0500443248010476,1.10639556020328,1.10643595521272,"D Over L",1470.83010718295,1279.48424389199,1377.44289217188,1491.09623684586,1431.67986596989,1644.32611858093
"3","gene-ACX60_RS00015_recF",0.965780927999206,0.0342190720007938,1.101094464337,1.10124330494727,"D Over L",242.889375498102,476.730908180909,344.8050594598,397.070320053924,393.459313753609,381.664686239427
"4","gene-ACX60_RS00020_gyrB",0.988004986948506,0.0119950130514938,1.10471299165214,1.10472505225058,"D Over L",3502.40482199732,5131.26493644182,4973.01317715732,5890.80198597483,4361.73903637134,4779.10563638934
"5","gene-ACX60_RS00025_cybC",NA,NA,1.71850429517255,1.71930812595819,"D Over L",382.325868839605,494.159780092899,524.316971858974,882.995536903132,786.244895805585,739.192475325372
"6","gene-ACX60_RS00030_ACX60_RS00030",0.838355036417794,0.161644963582206,1.23846561510898,1.23948925696253,"D Over L",74.9658566352167,149.68325289121,140.410307718166,118.010409806236,173.822779021286,160.661221677861
"7","gene-ACX60_RS00035_ACX60_RS00035",0.982132354182236,0.0178676458177644,1.03006185302546,1.03010154307992,"D Over L",476.033189633626,353.703577037448,357.246479131029,391.516889004219,429.167093940152,402.030193212677
"8","gene-ACX60_RS00040_ACX60_RS00040",0.862180033271996,0.137819966728005,1.33863939132327,1.34107618075605,"D Over L",72.7168809361602,88.1695873194799,56.8750613541937,94.408327844989,107.12334055963,90.5133643255557
"9","gene-ACX60_RS00045_ACX60_RS00045",0.975948598656992,0.0240514013430084,1.2489661415964,1.24900506991945,"D Over L",3078.84773200835,3876.38615877853,3067.69862179183,2755.89015841622,5802.8511461641,3959.95968924306
"10","gene-ACX60_RS00050_ACX60_RS00050",0.882665294494375,0.117334705505625,1.25711721436778,1.25880260695575,"D Over L",84.7114179977949,77.9173097241915,76.4258636946978,83.3014657455785,116.55558438249,101.073256830204
"11","gene-ACX60_RS00055_erpA",0.626267660112601,0.373732339887399,1.64651940011774,1.64725367728264,"D Over L",251.885278294328,608.985289160128,518.984934857018,949.636709499595,609.053458276134,714.301300135844
"12","gene-ACX60_RS00060_ACX60_RS00060",1,6.89714365406397e-17,1.19655968079149,1.19838923031193,"D Over L",50.2271239455952,59.4632100526725,58.6524070215123,59.6993837843313,67.3731701632892,74.6735255685835
"13","gene-ACX60_RS00065_ACX60_RS00065",0.969330066591116,0.0306699334088841,0.911738509744559,0.911675360599917,"D Over L",946.818769302787,642.81780522458,600.742835553671,613.654130992429,656.888409092069,726.369748712585
"14","gene-ACX60_RS00070_tyrS",0.981161419537673,0.0188385804623271,0.93736177444683,0.937335772180966,"D Over L",1683.73314002697,877.594962156683,1213.92709077857,1182.88081358722,1146.69135617918,1209.10769178221
"15","gene-ACX60_RS00075_ACX60_RS00075",0.0664774225334103,0.93352257746659,22.6383786039175,22.6437424808507,"D Over L",1112.99558370607,3643.32113220484,1565.84153290765,4769.9391136352,4422.59722097984,133965.436287093
"16","gene-ACX60_RS00080_ACX60_RS00080",0.999999999999993,7.02954583783293e-15,1.07170995638038,4.81781297591972,"D Over L",0,0,0,0,0.114534389277592,0
"18","gene-ACX60_RS00090_ACX60_RS00090",0.506324243385913,0.493675756614087,12.2279643966268,12.2289381108565,"D Over L",6450.43713417722,7697.4100185425,3923.49056060571,9666.67694171279,8726.84673125085,202600.083671823
"19","gene-ACX60_RS00095_rrf",0.0502968259788186,0.949703174021181,10.9889312373679,12.9347361183546,"D Over L",3.12607622168854,3.41400843923102,1.4751969038744,8.78830463615854,9.88364406295452,85.3616453393595
"20","gene-ACX60_RS00100_ACX60_RS00100",0.356895500619482,0.643104499380518,1.41752857757134,1.41832480569681,"D Over L",177.669080225464,265.533989717968,378.574627138852,316.545569833198,456.7900937071,392.224578744075
"21","gene-ACX60_RS00105_ACX60_RS00105",0.964014176016244,0.035985823983756,0.92298659693743,0.922940310626419,"D Over L",837.368618615371,860.166090244693,910.0009816671,971.850433698416,680.469018649221,754.278036046298
"22","gene-ACX60_RS00110_ACX60_RS00110",0.991364826044333,0.00863517395566656,0.948533117240198,0.948527123708332,"D Over L",3043.6137793898,4847.27684705233,5566.64663004171,4589.91076258138,4131.99652611452,4042.93027320815
"23","gene-ACX60_RS00115_ACX60_RS00115",0.940997916294666,0.0590020837053336,0.884555521962428,0.883223477320969,"D Over L",54.7250753437082,34.8577438239804,46.2109873502824,52.7575949721997,43.792560606138,23.3826191174352
"24","gene-ACX60_RS00120_rsmB",0.980252949803218,0.0197470501967821,1.07836321330511,1.07843729316897,"D Over L",693.434173875755,461.352491787976,502.988823851151,583.11026021905,629.939141026754,574.759863467279
"25","gene-ACX60_RS00125_fmt",0.977848916428387,0.0221510835716131,1.07237301450311,1.07244511013471,"D Over L",615.469682975129,404.96496501389,552.754502536071,552.566389445671,604.337336364704,530.257459340547
"26","gene-ACX60_RS00130_ilvD",0.988564704654871,0.0114352953451289,1.01794282963032,1.01794734195041,"D Over L",2034.57334907978,1827.98109523991,2369.20177453563,2568.46186048867,1829.85530163493,1945.2830549634
"27","gene-ACX60_RS00135_ACX60_RS00135",0.0588629277413779,0.941137072258622,0.821478742435917,0.821335170531868,"D Over L",724.919833662546,640.767349705522,582.969378880486,584.498617981476,498.56145920834,517.43473272776
"28","gene-ACX60_RS00140_ACX60_RS00140",1,1.16720354858924e-17,0.878100736057835,0.877118702030525,"D Over L",56.2243924764125,70.7407154074897,67.5391353581051,56.9226682594787,58.6146580420616,55.0622966313797
"29","gene-ACX60_RS00145_ACX60_RS00145",0.960664235556059,0.0393357644439412,1.09851029093667,1.09898130024668,"D Over L",119.945370616347,92.2704983575952,115.527468375706,94.408327844989,142.831120746173,122.947319875546
"30","gene-ACX60_RS00150_ACX60_RS00150",0.145516929259744,0.854483070740256,0.735248535053788,0.735069622055428,"D Over L",912.334475250587,686.90259888432,719.824995264015,605.323984417871,489.129215385479,610.210931161455
"31","gene-ACX60_RS00155_ppc",0.921369266809125,0.0786307331908746,1.34519056438778,1.34521866807325,"D Over L",3964.19449887026,5124.08834212512,10161.0851800602,9397.79369386368,8725.49926784758,7771.326605385
"32","gene-ACX60_RS00160_ACX60_RS00160",1,2.50274324069683e-17,1.10979568493162,1.11035441099967,"D Over L",90.7086865286122,96.3714093957105,120.859505377662,116.62205204381,109.144535664528,116.15881755113
"33","gene-ACX60_RS00165_ACX60_RS00165",0.964160551759941,0.0358394482400588,1.1604271301112,1.16089096202478,"D Over L",193.411910118859,161.985986005556,186.621295068448,205.476948839094,228.39504685355,195.358011335991
"34","gene-ACX60_RS00170_ACX60_RS00170",0.979163335820554,0.0208366641794463,0.97931930063317,0.979300442503507,"D Over L",548.000412003434,635.641210907878,534.981045862885,655.304863865218,501.256386014871,526.486069160316
"35","gene-ACX60_RS00175_ACX60_RS00175",0.944101662082385,0.0558983379176145,1.16578013866752,1.16650107076419,"D Over L",141.68546904056,113.800281307701,104.863394371795,84.6898235080048,157.653218182097,178.009616506926
"36","gene-ACX60_RS00180_dnaJ",0.979282655385454,0.0207173446145459,1.08889218772409,1.08892258170777,"D Over L",1139.48102085529,1871.04066114012,1572.95091557692,1734.05884527046,1596.07040116832,1660.92023537395
"37","gene-ACX60_RS00185_ACX60_RS00185",1,1.70030276327975e-17,0.969777362429617,0.968598093173322,"D Over L",19.4911227251563,8.20182207623068,12.4414196712299,12.4952198618368,12.8009023310249,13.5770046488334
"38","gene-ACX60_RS00190_dapB",0.0758427934693651,0.924157206530635,1.19824406653028,1.19835235936975,"D Over L",937.822866506561,827.35880193977,1103.73165940482,1171.7739514878,1145.34389277592,1120.8571615648
"39","gene-ACX60_RS00195_ACX60_RS00195",0.943845451146837,0.056154548853163,0.878620070055806,0.878432732238827,"D Over L",418.309480024509,286.038544908545,311.035491780747,308.215423258641,328.781070396851,254.945976183649
"40","gene-ACX60_RS00200_ACX60_RS00200",0.901890828150742,0.0981091718492583,0.710230624756249,0.709627460909958,"D Over L",404.81562583017,184.54099671519,163.515801393307,191.593371214831,200.098315384969,142.55854881275
"41","gene-ACX60_RS00205_dkgB",0.889543540463046,0.110456459536954,0.628528731752377,0.627279876241511,"D Over L",290.117865178289,87.144359559951,88.8672833659277,104.126832181973,90.9537797204404,97.3018666499724
"42","gene-ACX60_RS00210_ACX60_RS00210",0.96952126452546,0.0304787354745396,1.05951919087559,1.05984731011917,"D Over L",103.452882156599,83.0434485218357,97.7540117025205,91.6316123201364,126.661559906984,82.9705839650927
"43","gene-ACX60_RS00215_ACX60_RS00215",0.992831594617077,0.00716840538292325,1.2284200299471,1.24056796898363,"D Over L",7.49658566352167,11.2775053548172,10.6640740039113,6.94178881213154,17.5170242424552,12.0684485767408
