"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","BlsAL1.genes.results","BlsAL2.genes.results","BlsAL3.genes.results","BlsAD1.genes.results","BlsAD2.genes.results","BlsAD3.genes.results"
"gene-ACX60_RS00005_dnaA",1076.0865926616,0.41324144050841,0.242850140358825,1.70163146662309,0.0888244749575031,0.432376343829416,1272.15886205202,1382.46459090481,1030.70473431906,1001.34707350946,822.158436968543,947.685858215721
"gene-ACX60_RS00010_dnaN",1449.18007988684,-0.145787257287951,0.211517727308365,-0.689243682518451,0.49066993174616,0.821348693725367,1471.68377791631,1278.95908780519,1377.23477430564,1491.60437857027,1432.03826111324,1643.5601996104
"gene-ACX60_RS00015_recF",372.761483616407,-0.140437143702644,0.317635722297124,-0.442132713181659,0.658393173339697,0.893713098294996,243.03034864673,476.5352370428,344.752962858444,397.205635261729,393.557809171827,381.486908716909
"gene-ACX60_RS00020_gyrB",4773.0630357736,-0.143906151061412,0.274006278033201,-0.525192897383086,0.599449101923838,0.864327530500652,3504.43761999236,5129.15884171874,4972.26180452539,5892.80947697733,4362.83091879864,4776.87955262912
"gene-ACX60_RS00025_cybC",634.888134660428,-0.784319802607322,0.249814448953708,-3.13960944169671,0.00169173210509368,0.0836364543463435,382.547771018001,493.9569553863,524.237752800211,883.296447644964,786.441717985483,738.84816312761
"gene-ACX60_RS00030_ACX60_RS00030",136.253930183194,-0.323871203283246,0.366555956951961,-0.883551875616335,0.376938167296246,0.754541816486745,75.0093668662748,149.621816361825,140.389093122768,118.0506258645,173.866292408102,160.586386475695
"gene-ACX60_RS00035_ACX60_RS00035",401.638025569575,-0.0400915753468171,0.251058700684924,-0.159690045544893,0.873125242774453,0.970169027454742,476.309479600845,353.558401676916,357.192502755398,391.650311691635,429.274528154887,401.842929537772
"gene-ACX60_RS00040_ACX60_RS00040",84.9701356547649,-0.411988309065466,0.309736903018261,-1.33012342104156,0.183477609943522,0.591223834184082,72.7590858602865,88.1333986788834,56.8664681003619,94.4405006915999,107.150156949179,90.4712036482788
"gene-ACX60_RS00045_ACX60_RS00045",3756.98553459093,-0.321159091323589,0.33636121711546,-0.954804165824348,0.339676740338235,0.725481037071569,3080.63469719791,3874.79512098672,3067.23512316327,2756.8293216592,5804.30378492628,3958.1151596122
"gene-ACX60_RS00050_ACX60_RS00050",90.00017050934,-0.33692243464049,0.295404207062462,-1.14054717768203,0.254058409474363,0.665807448674446,84.7605845588905,77.8853290650597,76.4143165098613,83.3298535514117,116.584761963572,101.026177407245
"gene-ACX60_RS00055_erpA",608.801360924094,-0.721441247016131,0.388046291325258,-1.85916284511381,0.0630040595405797,0.37983612151157,252.031472670683,608.735335061125,518.906521415802,949.960330486093,609.205923786527,713.968582124334
"gene-ACX60_RS00060_ACX60_RS00060",61.6811886657525,-0.275686283687508,0.312032995409288,-0.883516447758656,0.376957299840842,0.754541816486745,50.2562758004041,59.4388037601772,58.6435452284982,59.7197283785117,67.3900358170937,74.63874300983
"gene-ACX60_RS00065_ACX60_RS00065",697.920308434561,0.135371327656058,0.281622108564588,0.480684305454703,0.63074088727808,0.879213596316933,947.36830352105,642.553964786743,600.652069310072,613.8632544954,657.052849216663,726.031409277438
"gene-ACX60_RS00070_tyrS",1219.08260711925,0.094178183314686,0.307003775354164,0.306765554286883,0.759021828597789,0.932987032623606,1684.71037981653,877.234758943304,1213.7436785171,1183.28392043005,1146.97840960693,1208.54449540159
"gene-ACX60_RS00075_ACX60_RS00075",24903.4292832299,-4.50053496285901,1.40833672021562,-3.19563844232505,NA,NA,1113.88909796418,3642.16394075293,1565.60494988809,4772.02294671084,4423.48195103403,133903.412813029
"gene-ACX60_RS00080_ACX60_RS00080",0,NA,NA,NA,NA,NA,0,0,0,0,0,0
"gene-ACX60_RS00085_ACX60_RS00085",0,NA,NA,NA,NA,NA,0,0,0,0,0,0
"gene-ACX60_RS00090_ACX60_RS00090",39829.4614156026,-3.61157457401122,1.29009997104955,-2.79945326335683,NA,NA,6453.80592517428,7694.2506660588,3923.78629892497,9670.42950464133,8729.03133938814,202505.464759428
"gene-ACX60_RS00095_rrf",18.5811800305726,-3.68580257540514,0.995424435633801,-3.70274472221323,0.000213279462496023,0.0219921594328042,3.00037467465099,3.0744208841471,1.77707712813631,8.33298535514117,10.108505372564,85.1937167687959
"gene-ACX60_RS00100_ACX60_RS00100",331.219066595879,-0.513622760923514,0.352715259301123,-1.45619659875565,0.14533827951249,0.531856156357669,177.772199473071,265.425002998033,378.517428293034,316.653443495364,456.904442839895,392.041882475875
"gene-ACX60_RS00105_ACX60_RS00105",835.713140281665,0.117016950588925,0.248276212377864,0.471317608192086,0.637413943229956,0.882742486998048,837.854627896289,859.813040599804,909.86348960579,972.18162476647,680.639361752646,753.92669706899
"gene-ACX60_RS00110_ACX60_RS00110",4370.3376828574,0.0756898958187112,0.299506847650258,0.252715076174472,0.800488396862987,0.944515953352971,3045.38029477076,4845.28731341582,5565.80556532292,4591.47493068279,4133.03089666235,4041.04709628979
"gene-ACX60_RS00115_ACX60_RS00115",42.6258507728448,0.199835226365258,0.431492004433345,0.463126139794156,0.643273954316158,0.886097595850005,54.7568378123806,34.8434366870004,46.204005331544,52.7755739158941,43.8035232811109,23.3717276091387
"gene-ACX60_RS00120_rsmB",574.30175938566,-0.106837882676324,0.265780616138321,-0.40197770713543,0.687700432777735,0.908826995915481,693.836643513042,461.163132622064,502.912827262575,583.308974859882,630.096834889826,574.492143166571
"gene-ACX60_RS00125_fmt",543.425070518623,-0.101008335233794,0.266091177338999,-0.379600467192905,0.704242013960965,0.912649593652815,615.826901972116,404.798749746034,552.670986850392,552.754695224364,604.48862127933,530.0104680395
"gene-ACX60_RS00130_ilvD",2095.97605273381,-0.0255809692077415,0.259863742976224,-0.0984399320765652,0.921582967432183,0.983512348109972,2035.7542167507,1827.23081214476,2368.8438118057,2569.33715116853,1830.31337279226,1944.37695174093
"gene-ACX60_RS00135_ACX60_RS00135",591.550668579632,0.287558875659557,0.231115788984427,1.24421995106069,0.213418622867164,0.622296702985766,725.340577596877,640.504350863978,582.881298028709,584.697805752405,498.686265046493,517.193714189327
"gene-ACX60_RS00140_ACX60_RS00140",60.8509471657736,0.181415737500817,0.309250526324547,0.586630327381975,0.557452009876738,0.852837771786837,56.2570251497061,70.7116803353832,67.5289308691797,56.9420665934647,58.6293311608715,55.0366488860363
"gene-ACX60_RS00145_ACX60_RS00145",114.659175847566,-0.145753522002712,0.305482147142762,-0.477126154068168,0.633272291729425,0.880046091972081,120.01498698604,92.2326265244129,115.51001332886,94.4405006915999,142.866875932239,122.890051622245
"gene-ACX60_RS00150_ACX60_RS00150",670.651587147521,0.446424873431396,0.253776991984425,1.75912272401272,0.0785566659783209,0.415745905954204,912.863994762564,686.620664126185,719.716236895205,605.530269140258,489.2516600321,609.926697928813
"gene-ACX60_RS00155_ppc",7524.06951074972,-0.428389339988903,0.386105603062536,-1.1095133989017,0.267208767471839,0.678646334838751,3966.49531988861,5121.98519298906,10159.5499415553,9400.99631149176,8727.6835386718,7767.70675990181
"gene-ACX60_RS00160_ACX60_RS00160",108.312132889283,-0.162833804416256,0.277770705517277,-0.586216621054476,0.557729953629595,0.852840603155404,90.7613339081925,96.3318543699423,120.841244713269,116.661794971976,109.171858023692,116.104711348625
"gene-ACX60_RS00165_ACX60_RS00165",195.217162153669,-0.216460034673183,0.248963299142339,-0.869445558517549,0.384603473375481,0.759144203142091,193.524166514989,161.919499898414,186.593098454312,205.546972093482,228.452221419948,195.267014540868
"gene-ACX60_RS00170_ACX60_RS00170",566.958314287167,0.0330854353666238,0.244115648876246,0.13553180846426,0.892191416749609,0.975385237665931,548.318471792469,635.380316057066,534.900215569029,655.528181271105,501.381866479177,526.240834554155
"gene-ACX60_RS00175_ACX60_RS00175",130.117815902493,-0.22544696755854,0.363790397242391,-0.619716653511131,0.535444349561121,0.844957873881104,141.767703377259,113.753572713443,104.847550560042,84.7186844439352,157.692683811999,177.926700508282
"gene-ACX60_RS00180_dnaJ",1595.73244325093,-0.12345141685901,0.272349566553984,-0.453282956977057,0.650345003509328,0.889051180933774,1140.14237636738,1870.27270452282,1572.71325840063,1734.64978476189,1596.46994850695,1660.14658694592
"gene-ACX60_RS00185_ACX60_RS00185",13.169116059741,0.0720781501424865,0.558732708259436,0.129002918706915,0.89735533933458,0.977110408343926,19.5024353852314,8.19845569105892,12.4395398969542,12.4994780327118,12.8041068052478,13.5706805472418
"gene-ACX60_RS00190_dapB",1051.18170798838,-0.262527598767516,0.229147953261374,-1.14566853000894,0.251932329853389,0.664806881381213,938.367179497097,827.019217835569,1103.56489657265,1172.17327328986,1145.63060889059,1120.33507184452
"gene-ACX60_RS00195_ACX60_RS00195",317.912160550051,0.190581677534481,0.279996054427463,0.680658439720459,0.496087639566509,0.823360613489303,418.552267113813,285.92114222568,310.988497423854,308.320458140223,328.863374787417,254.827223609319
"gene-ACX60_RS00200_ACX60_RS00200",214.551024201051,0.502512156154423,0.413180554089305,1.21620475886629,0.22390693134259,0.631715102538362,405.050581077884,184.465253048826,163.49109578854,191.658663168247,200.148406376768,142.492145746039
"gene-ACX60_RS00205_dkgB",126.440684518507,0.684116041378473,0.499316037940272,1.37010628418931,0.170653726451545,0.571856359112001,290.286249772483,87.108591717501,88.8538564068154,104.162316939265,90.9765483530764,97.2565439218997
"gene-ACX60_RS00210_ACX60_RS00210",97.5915958525343,-0.0886700708901037,0.315824186402858,-0.280757695919458,0.77889625275945,0.937950142211831,103.512926275459,83.0093638719716,97.739242047497,91.6628389065529,126.693267336136,82.9319366775889
"gene-ACX60_RS00215_ACX60_RS00215",10.9941111598029,-0.378734890623182,0.608772218486459,-0.622129064241467,0.533857005130385,0.844957873881104,7.50093668662748,11.272876575206,10.6624627688179,6.94415446261764,17.5214093124444,12.0628271531038
"gene-ACX60_RS00220_ACX60_RS00220",106.526638130608,0.0530320684240422,0.294754579240734,0.179919404681172,0.857215841057148,0.968842777204045,125.265642666679,102.480696138237,97.739242047497,87.4963462289823,120.628164112598,105.549737589659
"gene-ACX60_RS00225_ACX60_RS00225",2025.90439316565,0.837990308779916,0.414913104749067,2.01967664840743,0.0434169388311036,0.321089615248879,3315.41401548934,2713.6888337405,1762.86051111122,2247.12838410307,901.004778874542,1215.32983567521
"gene-ACX60_RS00230_ACX60_RS00230",219.908190579892,0.0918152872110627,0.295187264987943,0.311040814090719,0.755769594277767,0.932790896735499,294.036718115797,203.936585315091,181.261867069903,204.158141200959,232.495623568973,203.560208208627
"gene-ACX60_RS00235_ACX60_RS00235",29.2262217799502,-0.775525611369903,0.475738359031187,-1.63015152477764,0.1030694762243,0.460368489719678,24.0029973972079,11.272876575206,30.2103111783172,37.4984340981353,44.4774236392818,27.8952877915526
"gene-ACX60_RS00240_ACX60_RS00240",149.499040442498,-0.298314543255323,0.308953512970305,-0.96556449670147,0.334262147962526,0.72176390352239,105.763207281447,125.026449288649,174.153558557358,147.216074607494,188.018199929691,156.81675299035
"gene-ACX60_RS00245_mutY",128.872309011113,-0.278801634016595,0.275588869641065,-1.01165781615097,0.311701691632326,0.710446643796994,111.763956630749,100.431082215472,138.612015994632,138.883089252353,132.758370559675,150.785339413798
"gene-ACX60_RS00250_ACX60_RS00250",1775.34919985509,-0.244505285110055,0.295782516065736,-0.826638735657098,0.408441855247283,0.774076917693969,1142.39265737336,1628.41826163658,2107.61347396966,1915.19780078995,1892.98610610216,1965.48689925886
"gene-ACX60_RS00255_ACX60_RS00255",2121.34858524466,0.118243816196178,0.329309794302601,0.359065591858847,0.719546021231521,0.916640166122329,1746.96815431554,2259.69934984811,2617.63460974478,2731.83036559378,1444.16846756032,1927.79056440541
"gene-ACX60_RS00260_ACX60_RS00260",1092.55127956453,1.26726208131461,0.540097815948393,2.34635661151367,0.0189579591258497,0.227334732748086,1466.43312223567,2133.64809359808,1028.92765719092,1170.78444239733,240.582427867024,514.93193409812
"gene-ACX60_RS00265_ACX60_RS00265",132.585140906862,-0.619517505291626,0.256219197486034,-2.41791993484561,0.0156095110160052,0.205601187068478,101.262645269471,109.654344867913,103.070473431906,149.993736392541,160.388285244683,171.141360234661
"gene-ACX60_RS00270_ACX60_RS00270",388.873567550364,0.879547037212024,0.347415113007356,2.53168904944386,0.011351460705448,0.185372948805258,440.304983505033,676.372594512361,392.734045318124,366.651355626212,219.691516763725,237.486909576732
"gene-ACX60_RS00275_ACX60_RS00275",615.426204381577,0.00446412871159766,0.234517529006453,0.0190353733066786,0.984812886698555,0.996592239119174,519.064818714621,677.397401473743,653.964383154162,604.141438247735,640.879240620561,597.10994407864
"gene-ACX60_RS00280_ACX60_RS00280",182.066739338051,-0.171166206376688,0.348449488703704,-0.491222435175492,0.623269132696139,0.87527396708535,153.769202075863,244.928863770385,113.732936200724,201.380479415912,202.170107451281,176.418847114144
"gene-ACX60_RS00285_ACX60_RS00285",136.360150477172,-0.0366866434185784,0.321278046938569,-0.11418969882369,0.909087417643034,0.98078891175853,94.5118022515062,171.142762550855,138.612015994632,148.604905500018,134.106171276016,131.183245290004
"gene-ACX60_RS00290_ACX60_RS00290",2282.75199831871,-0.0755482273951942,0.224410700454468,-0.336651626870719,0.73637953292558,0.922274663429319,2304.28775013196,1916.38901778502,2448.81228257183,2438.78704727132,2172.6547547431,2415.58113740904
"gene-ACX60_RS00295_ACX60_RS00295",1546.20490522375,0.146148075513888,0.212611772114437,0.687394089520239,0.491834421185939,0.821528192336715,1710.21356455106,1615.09577113861,1547.83417860672,1415.21867948148,1622.75206247562,1366.11517508901
"gene-ACX60_RS00300_dapA",2421.31868300063,0.0823571782890098,0.319537813130648,0.257738442540247,0.796608775295116,0.94382192411113,3262.90745868295,2137.74732144361,2070.2948542788,1840.20093259368,2987.40028777176,2229.361243233
"gene-ACX60_RS00305_pncA",235.138428621205,-0.0810864074475392,0.266506140934622,-0.304257182079083,0.760931963428552,0.933097046080534,258.782315688648,194.713322662649,232.797103785856,206.935802986006,269.560143268375,248.041883335698
"gene-ACX60_RS00310_ACX60_RS00310",249.781754433642,-0.241216830009776,0.243380140067113,-0.991111394476391,0.321631189703353,0.715639311738226,210.776320894232,232.631180233797,243.459566554674,299.987472785082,241.930228583366,269.905757550699
"gene-ACX60_RS00315_ACX60_RS00315",63.4594730962633,0.079630092686934,0.41311288509824,0.192756255152869,0.847149864251532,0.965686626684706,97.5121769261572,46.1163132622064,51.5352367159529,47.2202503458,72.7812386824612,65.5916226450021
