"","BlsAL1.genes.results","BlsAL2.genes.results","BlsAL3.genes.results","BlsAD1.genes.results","BlsAD2.genes.results","BlsAD3.genes.results"
"gene-ACX60_RS00005_dnaA",1272.15886205202,1382.46459090481,1030.70473431906,1001.34707350946,822.158436968543,947.685858215721
"gene-ACX60_RS00010_dnaN",1471.68377791631,1278.95908780519,1377.23477430564,1491.60437857027,1432.03826111324,1643.5601996104
"gene-ACX60_RS00015_recF",243.03034864673,476.5352370428,344.752962858444,397.205635261729,393.557809171827,381.486908716909
"gene-ACX60_RS00020_gyrB",3504.43761999236,5129.15884171874,4972.26180452539,5892.80947697733,4362.83091879864,4776.87955262912
"gene-ACX60_RS00025_cybC",382.547771018001,493.9569553863,524.237752800211,883.296447644964,786.441717985483,738.84816312761
"gene-ACX60_RS00030_ACX60_RS00030",75.0093668662748,149.621816361825,140.389093122768,118.0506258645,173.866292408102,160.586386475695
"gene-ACX60_RS00035_ACX60_RS00035",476.309479600845,353.558401676916,357.192502755398,391.650311691635,429.274528154887,401.842929537772
"gene-ACX60_RS00040_ACX60_RS00040",72.7590858602865,88.1333986788834,56.8664681003619,94.4405006915999,107.150156949179,90.4712036482788
"gene-ACX60_RS00045_ACX60_RS00045",3080.63469719791,3874.79512098672,3067.23512316327,2756.8293216592,5804.30378492628,3958.1151596122
"gene-ACX60_RS00050_ACX60_RS00050",84.7605845588905,77.8853290650597,76.4143165098613,83.3298535514117,116.584761963572,101.026177407245
"gene-ACX60_RS00055_erpA",252.031472670683,608.735335061125,518.906521415802,949.960330486093,609.205923786527,713.968582124334
"gene-ACX60_RS00060_ACX60_RS00060",50.2562758004041,59.4388037601772,58.6435452284982,59.7197283785117,67.3900358170937,74.63874300983
"gene-ACX60_RS00065_ACX60_RS00065",947.36830352105,642.553964786743,600.652069310072,613.8632544954,657.052849216663,726.031409277438
"gene-ACX60_RS00070_tyrS",1684.71037981653,877.234758943304,1213.7436785171,1183.28392043005,1146.97840960693,1208.54449540159
"gene-ACX60_RS00075_ACX60_RS00075",1113.88909796418,3642.16394075293,1565.60494988809,4772.02294671084,4423.48195103403,133903.412813029
"gene-ACX60_RS00080_ACX60_RS00080",0,0,0,0,0,0
"gene-ACX60_RS00085_ACX60_RS00085",0,0,0,0,0,0
"gene-ACX60_RS00090_ACX60_RS00090",6453.80592517428,7694.2506660588,3923.78629892497,9670.42950464133,8729.03133938814,202505.464759428
"gene-ACX60_RS00095_rrf",3.00037467465099,3.0744208841471,1.77707712813631,8.33298535514117,10.108505372564,85.1937167687959
"gene-ACX60_RS00100_ACX60_RS00100",177.772199473071,265.425002998033,378.517428293034,316.653443495364,456.904442839895,392.041882475875
"gene-ACX60_RS00105_ACX60_RS00105",837.854627896289,859.813040599804,909.86348960579,972.18162476647,680.639361752646,753.92669706899
"gene-ACX60_RS00110_ACX60_RS00110",3045.38029477076,4845.28731341582,5565.80556532292,4591.47493068279,4133.03089666235,4041.04709628979
"gene-ACX60_RS00115_ACX60_RS00115",54.7568378123806,34.8434366870004,46.204005331544,52.7755739158941,43.8035232811109,23.3717276091387
"gene-ACX60_RS00120_rsmB",693.836643513042,461.163132622064,502.912827262575,583.308974859882,630.096834889826,574.492143166571
"gene-ACX60_RS00125_fmt",615.826901972116,404.798749746034,552.670986850392,552.754695224364,604.48862127933,530.0104680395
"gene-ACX60_RS00130_ilvD",2035.7542167507,1827.23081214476,2368.8438118057,2569.33715116853,1830.31337279226,1944.37695174093
"gene-ACX60_RS00135_ACX60_RS00135",725.340577596877,640.504350863978,582.881298028709,584.697805752405,498.686265046493,517.193714189327
"gene-ACX60_RS00140_ACX60_RS00140",56.2570251497061,70.7116803353832,67.5289308691797,56.9420665934647,58.6293311608715,55.0366488860363
"gene-ACX60_RS00145_ACX60_RS00145",120.01498698604,92.2326265244129,115.51001332886,94.4405006915999,142.866875932239,122.890051622245
"gene-ACX60_RS00150_ACX60_RS00150",912.863994762564,686.620664126185,719.716236895205,605.530269140258,489.2516600321,609.926697928813
"gene-ACX60_RS00155_ppc",3966.49531988861,5121.98519298906,10159.5499415553,9400.99631149176,8727.6835386718,7767.70675990181
"gene-ACX60_RS00160_ACX60_RS00160",90.7613339081925,96.3318543699423,120.841244713269,116.661794971976,109.171858023692,116.104711348625
"gene-ACX60_RS00165_ACX60_RS00165",193.524166514989,161.919499898414,186.593098454312,205.546972093482,228.452221419948,195.267014540868
"gene-ACX60_RS00170_ACX60_RS00170",548.318471792469,635.380316057066,534.900215569029,655.528181271105,501.381866479177,526.240834554155
"gene-ACX60_RS00175_ACX60_RS00175",141.767703377259,113.753572713443,104.847550560042,84.7186844439352,157.692683811999,177.926700508282
"gene-ACX60_RS00180_dnaJ",1140.14237636738,1870.27270452282,1572.71325840063,1734.64978476189,1596.46994850695,1660.14658694592
"gene-ACX60_RS00185_ACX60_RS00185",19.5024353852314,8.19845569105892,12.4395398969542,12.4994780327118,12.8041068052478,13.5706805472418
