"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","BlsAL1.genes.results","BlsAL2.genes.results","BlsAL3.genes.results","BlsAD1.genes.results","BlsAD2.genes.results","BlsAD3.genes.results"
"gene-ACX60_RS00025_cybC",634.888134660428,-0.784319802607322,0.249814448953708,-3.13960944169671,0.00169173210509368,0.0836364543463435,382.547771018001,493.9569553863,524.237752800211,883.296447644964,786.441717985483,738.84816312761
"gene-ACX60_RS00095_rrf",18.5811800305726,-3.68580257540514,0.995424435633801,-3.70274472221323,0.000213279462496023,0.0219921594328042,3.00037467465099,3.0744208841471,1.77707712813631,8.33298535514117,10.108505372564,85.1937167687959
"gene-ACX60_RS00720_ACX60_RS00720",550.771502270404,1.21942320270512,0.410839946955124,2.96812228641027,0.00299625100976879,0.0984400585891126,1234.65417861888,636.405123018449,438.938050649668,380.539664551447,282.364250073622,331.727746710356
"gene-ACX60_RS00960_betT",5105.74895444138,1.61958984730019,0.467996559281833,3.46068750972346,0.000538797853319332,0.0418589651060889,11110.3874202326,7486.21485289818,4513.77590546622,3891.50416085093,1331.62710774577,2300.98427945456
"gene-ACX60_RS01085_ACX60_RS01085",394.160990857031,-2.69008942568308,0.582968481903455,-4.61446803590419,3.94103418995939e-06,0.00155836449989641,81.7602098842395,86.0837847561187,151.051555891586,173.603861565441,1094.4141816696,778.052351375198
"gene-ACX60_RS01240_aqpZ",3349.32208059675,1.34273528295257,0.41321004161026,3.2495223923407,0.00115598976751679,0.0641841087841247,7004.37467797274,5078.943300611,2327.97103785856,2233.24007517783,1600.51335065597,1850.89004130437
"gene-ACX60_RS01295_ACX60_RS01295",85.8566563817487,-0.947468771570805,0.311541283022364,-3.04123024203759,0.00235613585375172,0.0890211867623457,60.0074934930198,56.3643828760301,60.4206223566345,87.4963462289823,128.714968410649,122.136124925176
"gene-ACX60_RS01355_ACX60_RS01355",531.321582534157,1.25774416432379,0.408047559513705,3.08234698382394,0.00205375287891135,0.0871408546546982,955.619333876341,540.073268648506,749.926548073522,473.591334350523,185.996498855179,282.722511400871
"gene-ACX60_RS01450_ACX60_RS01450",464.04562393424,-1.10342348572638,0.364072459225372,-3.03077988396626,0.0024392299944087,0.0890211867623457,236.279505628766,233.655987195179,417.613125112033,437.481731144911,764.876906524013,694.36648800054
"gene-ACX60_RS01625_rpoZ",819.097898497525,-0.949699535495245,0.243999639213454,-3.89221696620803,9.93323504059051e-05,0.0160203606425555,621.827651321418,538.023654725742,515.35236715953,1049.95615474779,939.417099290286,1250.01046374039
"gene-ACX60_RS01690_rplS",3079.29709916139,-1.07626207049022,0.361784156910043,-2.97487341536028,0.00293109472275823,0.0979474153188376,1656.20682040735,2014.77048607773,2274.65872401447,2405.45510585075,5572.48206171547,4552.20939690256
"gene-ACX60_RS01715_ACX60_RS01715",381.716836037622,1.54282940468052,0.446417060549808,3.45602697795726,0.000548200450877768,0.0418589651060889,751.593856000073,650.752420477802,300.326034655036,284.710332967323,121.97596482894,180.942407296558
"gene-ACX60_RS01860_ACX60_RS01860",380.431908926213,1.19199721662106,0.38785591073031,3.07329908773751,0.00211706189554246,0.0871408546546982,773.346572391293,445.791028201329,366.07788839608,308.320458140223,171.170690975418,217.884815452938
"gene-ACX60_RS02450_rrf",18.5811800305726,-3.68580257540514,0.995424435633801,-3.70274472221323,0.000213279462496023,0.0219921594328042,3.00037467465099,3.0744208841471,1.77707712813631,8.33298535514117,10.108505372564,85.1937167687959
"gene-ACX60_RS02465_ACX60_RS02465",222.744888999501,-0.795762589155733,0.26864315425385,-2.96215472665196,0.00305494224493782,0.0984400585891126,153.019108407201,152.696237245972,184.816021326176,243.045406191617,332.232876578272,270.659684247768
"gene-ACX60_RS02520_rpsI",3004.82209332478,-1.37133269119777,0.365292769621195,-3.75406469889845,0.000173989922720437,0.0219921594328042,1282.6601734133,1519.78872373005,2226.67764155479,2726.27504202369,5493.63571980948,4779.8952594174
"gene-ACX60_RS02580_ACX60_RS02580",428.519011828082,1.08838168061535,0.350565266702595,3.10464779027492,0.00190505727401351,0.0859418962739347,858.857250618846,491.907341463535,396.288199574397,291.654487429941,265.516741119349,266.890050762423
"gene-ACX60_RS02615_rrf",18.5811800305726,-3.68580257540514,0.995424435633801,-3.70274472221323,0.000213279462496023,0.0219921594328042,3.00037467465099,3.0744208841471,1.77707712813631,8.33298535514117,10.108505372564,85.1937167687959
"gene-ACX60_RS02750_ACX60_RS02750",2456.21569225294,1.41411509784049,0.425162750571979,3.32605595372139,0.000880842443967263,0.0553178499925313,5279.15924004842,3517.13749146428,1917.46622125908,1822.14613099087,965.699213258952,1235.68585649608
"gene-ACX60_RS03065_ACX60_RS03065",256.599417088466,-1.66751253387827,0.526145593382169,-3.16929867863981,0.0015280727773869,0.0765946479665184,35.2544024271491,145.522588516296,190.147252710585,362.484862948641,359.86279126328,446.324604664842
