	"BlsAL1.genes.results"	"BlsAL2.genes.results"	"BlsAL3.genes.results"	"BlsAD1.genes.results"	"BlsAD2.genes.results"	"BlsAD3.genes.results"
"gene-ACX60_RS00005_dnaA"	1696.00	1349.00	580.00	721.00	1220.00	1257.00
"gene-ACX60_RS00010_dnaN"	1962.00	1248.00	775.00	1074.00	2125.00	2180.00
"gene-ACX60_RS00015_recF"	324.00	465.00	194.00	286.00	584.00	506.00
"gene-ACX60_RS00020_gyrB"	4672.00	5005.00	2798.00	4243.00	6474.00	6336.00
"gene-ACX60_RS00025_cybC"	510.00	482.00	295.00	636.00	1167.00	980.00
"gene-ACX60_RS00030_ACX60_RS00030"	100.00	146.00	79.00	85.00	258.00	213.00
"gene-ACX60_RS00035_ACX60_RS00035"	635.00	345.00	201.00	282.00	637.00	533.00
"gene-ACX60_RS00040_ACX60_RS00040"	97.00	86.00	32.00	68.00	159.00	120.00
"gene-ACX60_RS00045_ACX60_RS00045"	4107.00	3781.00	1726.00	1985.00	8613.00	5250.00
"gene-ACX60_RS00050_ACX60_RS00050"	113.00	76.00	43.00	60.00	173.00	134.00
"gene-ACX60_RS00055_erpA"	336.00	594.00	292.00	684.00	904.00	947.00
"gene-ACX60_RS00060_ACX60_RS00060"	67.00	58.00	33.00	43.00	100.00	99.00
"gene-ACX60_RS00065_ACX60_RS00065"	1263.00	627.00	338.00	442.00	975.00	963.00
"gene-ACX60_RS00070_tyrS"	2246.00	856.00	683.00	852.00	1702.00	1603.00
"gene-ACX60_RS00075_ACX60_RS00075"	1484.67	3553.67	881.00	3435.67	6564.33	177607.50
"gene-ACX60_RS00080_ACX60_RS00080"	0.00	0.00	0.00	0.00	0.17	0.00
"gene-ACX60_RS00085_ACX60_RS00085"	0.00	0.00	0.00	0.00	0.00	0.00
"gene-ACX60_RS00090_ACX60_RS00090"	8604.50	7508.00	2207.50	6962.67	12953.00	268601.33
"gene-ACX60_RS00095_rrf"	4.17	3.33	0.83	6.33	14.67	113.17
"gene-ACX60_RS00100_ACX60_RS00100"	237.00	259.00	213.00	228.00	678.00	520.00
"gene-ACX60_RS00105_ACX60_RS00105"	1117.00	839.00	512.00	700.00	1010.00	1000.00
"gene-ACX60_RS00110_ACX60_RS00110"	4060.00	4728.00	3132.00	3306.00	6133.00	5360.00
"gene-ACX60_RS00115_ACX60_RS00115"	73.00	34.00	26.00	38.00	65.00	31.00
"gene-ACX60_RS00120_rsmB"	925.00	450.00	283.00	420.00	935.00	762.00
"gene-ACX60_RS00125_fmt"	821.00	395.00	311.00	398.00	897.00	703.00
"gene-ACX60_RS00130_ilvD"	2714.00	1783.00	1333.00	1850.00	2716.00	2579.00
"gene-ACX60_RS00135_ACX60_RS00135"	967.00	625.00	328.00	421.00	740.00	686.00
"gene-ACX60_RS00140_ACX60_RS00140"	75.00	69.00	38.00	41.00	87.00	73.00
"gene-ACX60_RS00145_ACX60_RS00145"	160.00	90.00	65.00	68.00	212.00	163.00
"gene-ACX60_RS00150_ACX60_RS00150"	1217.00	670.00	405.00	436.00	726.00	809.00
"gene-ACX60_RS00155_ppc"	5288.00	4998.00	5717.00	6769.00	12951.00	10303.00
"gene-ACX60_RS00160_ACX60_RS00160"	121.00	94.00	68.00	84.00	162.00	154.00
"gene-ACX60_RS00165_ACX60_RS00165"	258.00	158.00	105.00	148.00	339.00	259.00
"gene-ACX60_RS00170_ACX60_RS00170"	731.00	620.00	301.00	472.00	744.00	698.00
"gene-ACX60_RS00175_ACX60_RS00175"	189.00	111.00	59.00	61.00	234.00	236.00
"gene-ACX60_RS00180_dnaJ"	1520.00	1825.00	885.00	1249.00	2369.00	2202.00
"gene-ACX60_RS00185_ACX60_RS00185"	26.00	8.00	7.00	9.00	19.00	18.00
"gene-ACX60_RS00190_dapB"	1251.00	807.00	621.00	844.00	1700.00	1486.00
"gene-ACX60_RS00195_ACX60_RS00195"	558.00	279.00	175.00	222.00	488.00	338.00
"gene-ACX60_RS00200_ACX60_RS00200"	540.00	180.00	92.00	138.00	297.00	189.00
"gene-ACX60_RS00205_dkgB"	387.00	85.00	50.00	75.00	135.00	129.00
"gene-ACX60_RS00210_ACX60_RS00210"	138.00	81.00	55.00	66.00	188.00	110.00
"gene-ACX60_RS00215_ACX60_RS00215"	10.00	11.00	6.00	5.00	26.00	16.00
"gene-ACX60_RS00220_ACX60_RS00220"	167.00	100.00	55.00	63.00	179.00	140.00
"gene-ACX60_RS00225_ACX60_RS00225"	4420.00	2648.00	992.00	1618.00	1337.00	1612.00
"gene-ACX60_RS00230_ACX60_RS00230"	392.00	199.00	102.00	147.00	345.00	270.00
"gene-ACX60_RS00235_ACX60_RS00235"	32.00	11.00	17.00	27.00	66.00	37.00
"gene-ACX60_RS00240_ACX60_RS00240"	141.00	122.00	98.00	106.00	279.00	208.00
"gene-ACX60_RS00245_mutY"	149.00	98.00	78.00	100.00	197.00	200.00
"gene-ACX60_RS00250_ACX60_RS00250"	1523.00	1589.00	1186.00	1379.00	2809.00	2607.00
"gene-ACX60_RS00255_ACX60_RS00255"	2329.00	2205.00	1473.00	1967.00	2143.00	2557.00
"gene-ACX60_RS00260_ACX60_RS00260"	1955.00	2082.00	579.00	843.00	357.00	683.00
"gene-ACX60_RS00265_ACX60_RS00265"	135.00	107.00	58.00	108.00	238.00	227.00
"gene-ACX60_RS00270_ACX60_RS00270"	587.00	660.00	221.00	264.00	326.00	315.00
"gene-ACX60_RS00275_ACX60_RS00275"	692.00	661.00	368.00	435.00	951.00	792.00
"gene-ACX60_RS00280_ACX60_RS00280"	205.00	239.00	64.00	145.00	300.00	234.00
"gene-ACX60_RS00285_ACX60_RS00285"	126.00	167.00	78.00	107.00	199.00	174.00
"gene-ACX60_RS00290_ACX60_RS00290"	3072.00	1870.00	1378.00	1756.00	3224.00	3204.00
"gene-ACX60_RS00295_ACX60_RS00295"	2280.00	1576.00	871.00	1019.00	2408.00	1812.00
"gene-ACX60_RS00300_dapA"	4350.00	2086.00	1165.00	1325.00	4433.00	2957.00
"gene-ACX60_RS00305_pncA"	345.00	190.00	131.00	149.00	400.00	329.00
"gene-ACX60_RS00310_ACX60_RS00310"	281.00	227.00	137.00	216.00	359.00	358.00
"gene-ACX60_RS00315_ACX60_RS00315"	130.00	45.00	29.00	34.00	108.00	87.00
"gene-ACX60_RS00320_ACX60_RS00320"	112.00	31.00	30.00	34.00	90.00	87.00
"gene-ACX60_RS00325_hppD"	1954.00	594.00	7837.00	7706.00	24345.00	16477.00
"gene-ACX60_RS00330_ACX60_RS00330"	323.00	258.00	291.00	287.00	809.00	624.00
"gene-ACX60_RS00335_ACX60_RS00335"	838.00	311.00	3118.00	3068.00	7826.00	5739.00
"gene-ACX60_RS00340_maiA"	577.00	157.00	2136.00	2026.00	5539.00	3784.00
"gene-ACX60_RS00345_fahA"	2935.00	557.00	8533.00	8857.00	28395.00	19747.00
"gene-ACX60_RS00350_ACX60_RS00350"	728.00	283.00	4070.00	4075.00	18563.00	12369.00
"gene-ACX60_RS00355_ACX60_RS00355"	41.00	24.00	15.00	21.00	52.00	36.00
"gene-ACX60_RS00360_zigA"	54.00	35.00	14.00	17.00	59.00	40.00
