	"WTL1.genes.results"	"WTL2.genes.results"	"WTL3.genes.results"	"WTD1.genes.results"	"WTD2.genes.results"	"WTD3.genes.results"
"gene-ACX60_RS00005_dnaA"	1857.00	1743.00	1392.00	938.00	1019.00	735.00
"gene-ACX60_RS00010_dnaN"	1787.00	1950.00	1448.00	1312.00	1387.00	1630.00
"gene-ACX60_RS00015_recF"	524.00	368.00	459.00	364.00	323.00	361.00
"gene-ACX60_RS00020_gyrB"	7489.00	4792.00	5666.00	3529.00	4013.00	3057.00
"gene-ACX60_RS00025_cybC"	665.00	470.00	462.00	418.00	443.00	375.00
"gene-ACX60_RS00030_ACX60_RS00030"	175.00	121.00	128.00	135.00	210.00	190.00
"gene-ACX60_RS00035_ACX60_RS00035"	520.00	624.00	363.00	359.00	340.00	443.00
"gene-ACX60_RS00040_ACX60_RS00040"	106.00	78.00	63.00	86.00	65.00	48.00
"gene-ACX60_RS00045_ACX60_RS00045"	4835.00	3856.00	3177.00	4797.00	3044.00	1676.00
"gene-ACX60_RS00050_ACX60_RS00050"	121.00	91.00	79.00	92.00	94.00	42.00
"gene-ACX60_RS00055_erpA"	729.00	312.00	596.00	370.00	457.00	371.00
"gene-ACX60_RS00060_ACX60_RS00060"	170.00	70.00	105.00	139.00	105.00	90.00
"gene-ACX60_RS00065_ACX60_RS00065"	893.00	1046.00	689.00	608.00	554.00	453.00
"gene-ACX60_RS00070_tyrS"	1377.00	2026.00	896.00	880.00	886.00	1435.00
"gene-ACX60_RS00075_ACX60_RS00075"	1825.83	95.17	947.83	103.50	399.00	136.00
"gene-ACX60_RS00080_ACX60_RS00080"	0.00	0.17	0.00	0.00	0.00	0.00
"gene-ACX60_RS00085_ACX60_RS00085"	0.00	0.17	0.00	0.00	0.00	0.00
"gene-ACX60_RS00090_ACX60_RS00090"	5040.17	6123.83	3078.17	818.67	1628.83	1097.50
"gene-ACX60_RS00095_rrf"	1.67	1.33	0.50	0.33	1.00	0.50
"gene-ACX60_RS00100_ACX60_RS00100"	440.00	296.00	299.00	432.00	363.00	218.00
"gene-ACX60_RS00105_ACX60_RS00105"	1277.00	1051.00	1024.00	484.00	512.00	604.00
"gene-ACX60_RS00110_ACX60_RS00110"	5138.00	4160.00	3479.00	4845.00	4413.00	920.00
"gene-ACX60_RS00115_ACX60_RS00115"	31.00	78.00	26.00	13.00	40.00	8.00
"gene-ACX60_RS00120_rsmB"	555.00	813.00	396.00	353.00	415.00	644.00
"gene-ACX60_RS00125_fmt"	536.00	800.00	389.00	369.00	469.00	534.00
"gene-ACX60_RS00130_ilvD"	2372.00	2316.00	1553.00	1336.00	1506.00	1544.00
"gene-ACX60_RS00135_ACX60_RS00135"	789.00	905.00	598.00	437.00	423.00	460.00
"gene-ACX60_RS00140_ACX60_RS00140"	69.00	64.00	52.00	52.00	43.00	43.00
"gene-ACX60_RS00145_ACX60_RS00145"	128.00	148.00	102.00	80.00	93.00	116.00
"gene-ACX60_RS00150_ACX60_RS00150"	1012.00	1115.00	642.00	341.00	322.00	582.00
"gene-ACX60_RS00155_ppc"	4773.00	3775.00	3430.00	5631.00	5126.00	2900.00
"gene-ACX60_RS00160_ACX60_RS00160"	111.00	118.00	76.00	61.00	75.00	90.00
"gene-ACX60_RS00165_ACX60_RS00165"	225.00	291.00	219.00	191.00	218.00	131.00
"gene-ACX60_RS00170_ACX60_RS00170"	749.00	780.00	641.00	388.00	463.00	328.00
"gene-ACX60_RS00175_ACX60_RS00175"	164.00	184.00	100.00	187.00	155.00	198.00
"gene-ACX60_RS00180_dnaJ"	2358.00	1472.00	1931.00	1144.00	1363.00	1519.00
"gene-ACX60_RS00185_ACX60_RS00185"	11.00	19.00	4.00	9.00	4.00	9.00
"gene-ACX60_RS00190_dapB"	899.00	1173.00	703.00	674.00	687.00	771.00
"gene-ACX60_RS00195_ACX60_RS00195"	373.00	448.00	302.00	229.00	192.00	234.00
"gene-ACX60_RS00200_ACX60_RS00200"	204.00	374.00	168.00	124.00	124.00	129.00
"gene-ACX60_RS00205_dkgB"	107.00	235.00	92.00	71.00	52.00	74.00
"gene-ACX60_RS00210_ACX60_RS00210"	105.00	151.00	73.00	95.00	90.00	117.00
"gene-ACX60_RS00215_ACX60_RS00215"	13.00	14.00	8.00	14.00	17.00	6.00
"gene-ACX60_RS00220_ACX60_RS00220"	154.00	178.00	117.00	107.00	101.00	93.00
"gene-ACX60_RS00225_ACX60_RS00225"	2876.00	2732.00	2395.00	766.00	853.00	426.00
"gene-ACX60_RS00230_ACX60_RS00230"	205.00	289.00	174.00	191.00	199.00	141.00
"gene-ACX60_RS00235_ACX60_RS00235"	15.00	42.00	16.00	19.00	21.00	25.00
"gene-ACX60_RS00240_ACX60_RS00240"	144.00	157.00	112.00	118.00	116.00	115.00
"gene-ACX60_RS00245_mutY"	140.00	130.00	106.00	117.00	160.00	169.00
"gene-ACX60_RS00250_ACX60_RS00250"	1994.00	1523.00	1524.00	1330.00	1419.00	716.00
"gene-ACX60_RS00255_ACX60_RS00255"	3375.00	2012.00	2423.00	1324.00	1409.00	876.00
"gene-ACX60_RS00260_ACX60_RS00260"	2014.00	1648.00	2387.00	302.00	496.00	27.00
"gene-ACX60_RS00265_ACX60_RS00265"	135.00	88.00	100.00	90.00	121.00	99.00
"gene-ACX60_RS00270_ACX60_RS00270"	807.00	449.00	601.00	178.00	204.00	94.00
"gene-ACX60_RS00275_ACX60_RS00275"	837.00	575.00	627.00	448.00	405.00	470.00
"gene-ACX60_RS00280_ACX60_RS00280"	326.00	273.00	236.00	177.00	153.00	87.00
"gene-ACX60_RS00285_ACX60_RS00285"	170.00	140.00	158.00	87.00	90.00	33.00
"gene-ACX60_RS00290_ACX60_RS00290"	2177.00	2294.00	1662.00	1211.00	1278.00	2416.00
"gene-ACX60_RS00295_ACX60_RS00295"	1657.00	1926.00	1310.00	1166.00	1179.00	1236.00
"gene-ACX60_RS00300_dapA"	2278.00	3709.00	1898.00	2009.00	1799.00	1992.00
"gene-ACX60_RS00305_pncA"	206.00	313.00	193.00	162.00	164.00	151.00
"gene-ACX60_RS00310_ACX60_RS00310"	224.00	282.00	175.00	180.00	170.00	166.00
"gene-ACX60_RS00315_ACX60_RS00315"	64.00	109.00	54.00	60.00	59.00	49.00
"gene-ACX60_RS00320_ACX60_RS00320"	41.00	102.00	51.00	40.00	39.00	62.00
"gene-ACX60_RS00325_hppD"	7498.00	7123.00	3653.00	12994.00	9539.00	5252.00
"gene-ACX60_RS00330_ACX60_RS00330"	533.00	391.00	377.00	538.00	569.00	382.00
"gene-ACX60_RS00335_ACX60_RS00335"	3730.00	3594.00	2135.00	3651.00	3121.00	885.00
"gene-ACX60_RS00340_maiA"	2684.00	2899.00	1432.00	2788.00	2530.00	938.00
"gene-ACX60_RS00345_fahA"	9546.00	15073.00	5378.00	13153.00	11610.00	6366.00
"gene-ACX60_RS00350_ACX60_RS00350"	4493.00	3295.00	2048.00	9222.00	5985.00	3249.00
"gene-ACX60_RS00355_ACX60_RS00355"	39.00	45.00	28.00	39.00	39.00	31.00
"gene-ACX60_RS00360_zigA"	62.00	60.00	33.00	54.00	36.00	28.00
"gene-ACX60_RS00365_ACX60_RS00365"	583.00	826.00	402.00	316.00	354.00	356.00
"gene-ACX60_RS00370_hutC"	55.00	117.00	47.00	101.00	74.00	177.00
"gene-ACX60_RS00375_ACX60_RS00375"	27.00	22.00	21.00	40.00	51.00	76.00
"gene-ACX60_RS00380_hutU"	4208.00	5467.00	2939.00	41233.00	21428.00	30401.00
"gene-ACX60_RS00385_hutH"	2762.00	2506.00	1758.00	29758.00	17284.00	24785.00
"gene-ACX60_RS00390_ACX60_RS00390"	1264.00	1014.00	851.00	16663.00	10365.00	12050.00
"gene-ACX60_RS00395_hutI"	904.00	954.00	679.00	10867.00	8782.00	10232.00
"gene-ACX60_RS00400_hutG"	306.00	439.00	236.00	5316.00	4638.00	6467.00
"gene-ACX60_RS00405_ACX60_RS00405"	144.00	160.00	72.00	249.00	241.00	136.00
"gene-ACX60_RS00410_ACX60_RS00410"	130.00	90.00	83.00	81.00	70.00	74.00
"gene-ACX60_RS00415_murI"	200.00	163.00	134.00	142.00	141.00	113.00
"gene-ACX60_RS00420_ACX60_RS00420"	161.00	133.00	116.00	103.00	92.00	37.00
"gene-ACX60_RS00425_ACX60_RS00425"	3864.00	1070.00	2016.00	6330.00	7056.00	1978.00
