,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,WTL1.genes.results,WTL2.genes.results,WTL3.genes.results,WTD1.genes.results,WTD2.genes.results,WTD3.genes.results
gene-ACX60_RS00005_dnaA,1223.567584,0.314090001,0.184761426,1.699976062,0.089135428,0.204298623,1357.692103,1299.019377,1412.527914,1117.622123,1200.003706,954.5402797
gene-ACX60_RS00010_dnaN,1590.44053,-0.329232589,0.209443991,-1.571936191,0.11596535,0.247909564,1306.513618,1453.291902,1469.353749,1563.241179,1633.37109,2116.871641
gene-ACX60_RS00015_recF,401.0075853,-0.193570952,0.241591179,-0.801233523,0.422996468,0.60778,383.1075186,274.2622666,465.7689025,433.7041075,380.3740894,468.8286272
gene-ACX60_RS00020_gyrB,4616.168846,0.197680275,0.264353518,0.747787571,0.4545883,0.636354769,5475.366807,3571.37169,5749.556866,4204.785152,4725.824212,3970.108347
gene-ACX60_RS00025_cybC,468.6723467,-0.207912258,0.201662336,-1.030992017,0.302544563,0.490358286,486.1956104,350.2806123,468.8131437,498.0448267,521.6895405,487.0103468
gene-ACX60_RS00030_ACX60_RS00030,167.153035,-0.914250609,0.251969181,-3.628422358,0.000285158,0.002281885,127.9462133,90.17862572,129.8876242,160.8517981,247.3020395,246.751909
gene-ACX60_RS00035_ACX60_RS00035,436.1752658,-0.208158718,0.221339216,-0.94045114,0.346986201,0.536964414,380.1830337,465.0534087,368.3531843,427.7466335,400.3937783,575.3215563
gene-ACX60_RS00040_ACX60_RS00040,73.48522282,-0.275110137,0.267707395,-1.027652362,0.304113384,0.491607862,77.49884918,58.13167608,63.92906505,102.4685529,76.54586938,62.33732439
gene-ACX60_RS00045_ACX60_RS00045,3518.254695,-0.252796271,0.356713881,-0.70868078,0.478522594,0.656397053,3534.971092,2873.791577,3223.851423,5715.600559,3584.701944,2176.611577
gene-ACX60_RS00050_ACX60_RS00050,85.2184597,-0.221128887,0.296685577,-0.745330762,0.456071789,0.637347159,88.46566746,67.82028876,80.16501808,109.6175217,110.6971034,54.54515884
gene-ACX60_RS00055_erpA,471.858052,-0.093439657,0.3361666,-0.277956398,0.78104583,0.882682614,532.9873684,232.5267043,604.7892503,440.8530763,538.1763431,481.8155698
gene-ACX60_RS00060_ACX60_RS00060,114.8599637,-0.523828477,0.322978774,-1.621866573,0.10483192,0.231243203,124.2906072,52.16945289,106.5484418,165.6177773,123.6510198,116.8824832
gene-ACX60_RS00065_ACX60_RS00065,682.7927213,0.117086932,0.187975815,0.622882958,0.533361438,0.700131879,652.8912483,779.5606818,699.1607273,724.4288388,652.4063328,588.3084989
