"","WTL1.genes.results","WTL2.genes.results","WTL3.genes.results","WTD1.genes.results","WTD2.genes.results","WTD3.genes.results"
"gene-ACX60_RS00005_dnaA",1357.69210313972,1299.01937707072,1412.52791352981,1117.62212306414,1200.00370605003,954.540279712065
"gene-ACX60_RS00010_dnaN",1306.5136178302,1453.29190205846,1469.35374913158,1563.24117852894,1633.37108958919,2116.87164072199
"gene-ACX60_RS00015_recF",383.107518602701,274.262266644879,465.768902521683,433.704107457724,380.374089356387,468.828627178307
"gene-ACX60_RS00020_gyrB",5475.36680690005,3571.37168957135,5749.55686642234,4204.78515169865,4725.82421234422,3970.10834704732
"gene-ACX60_RS00025_cybC",486.19561044045,350.280612291013,468.813143714635,498.044826695958,521.689540510463,487.01034679187
"gene-ACX60_RS00030_ACX60_RS00030",127.946213273803,90.1786257174737,129.887624232626,160.851798095585,247.302039519632,246.751909041214
"gene-ACX60_RS00035_ACX60_RS00035",380.183033727871,465.053408658707,368.353184347213,427.746633454184,400.393778269881,575.321556343462
"gene-ACX60_RS00040_ACX60_RS00040",77.4988491829891,58.1316760823384,63.9290650519957,102.468552860891,76.5458693751243,62.3373243893593
"gene-ACX60_RS00045_ACX60_RS00045",3534.97109245049,2873.79157658329,3223.85142333635,5715.60055899644,3584.70194427505,2176.61157659513
"gene-ACX60_RS00050_ACX60_RS00050",88.4656674636008,67.8202887627281,80.1650180810739,109.617521665139,110.697103404026,54.5451588406894
"gene-ACX60_RS00055_erpA",532.987368437727,232.526704329354,604.789250333165,440.853076261973,538.176343145105,481.815569759423
"gene-ACX60_RS00060_ACX60_RS00060",124.290607180266,52.1694528944062,106.548441753326,165.617777298417,123.651019759816,116.882483230049
"gene-ACX60_RS00065_ACX60_RS00065",652.891248305748,779.560681822128,699.160727314683,724.428838830485,652.406332827983,588.308498924579
"gene-ACX60_RS00070_tyrS",1006.75391816015,1509.93302234382,909.213369628383,1048.51542462307,1043.37908102093,1863.62626039022
"gene-ACX60_RS00075_ACX60_RS00075",1335.02734535979,70.8014003566942,961.980216972887,123.915459273636,469.873875087302,176.622419103185
"gene-ACX60_RS00080_ACX60_RS00080",0,0,0,0,0,0
"gene-ACX60_RS00085_ACX60_RS00085",0,0,0,0,0,0
"gene-ACX60_RS00090_ACX60_RS00090",3684.85094228552,4564.08185036205,3123.39146396893,975.83424177988,1918.35724941658,1425.96629540659
"gene-ACX60_RS00095_rrf",1.46224243741489,0.745277898491518,0,0,1.1776287596173,0
"gene-ACX60_RS00100_ACX60_RS00100",321.693336231275,220.602257953489,303.4093722309,514.725753905871,427.479239741079,283.11534826834
"gene-ACX60_RS00105_ACX60_RS00105",933.641796289406,783.287071314585,1039.10099386101,576.683483542688,602.945924924056,784.411331899438
"gene-ACX60_RS00110_ACX60_RS00110",3756.50082171885,3100.35605772471,3530.30503676021,5772.79230943043,5196.87571619113,1194.79871746272
"gene-ACX60_RS00115_ACX60_RS00115",22.6647577799308,58.1316760823384,26.3834236722522,15.4894324092044,47.1051503846919,10.3895540648932
"gene-ACX60_RS00120_rsmB",405.772276382632,605.910931473604,401.839837469687,420.597664649936,488.715935241178,836.359102223904
"gene-ACX60_RS00125_fmt",391.88097322719,596.222318793214,394.736608019465,439.661581461265,552.307888260513,693.502733831622
"gene-ACX60_RS00130_ilvD",1734.21953077406,1726.06361290636,1575.90219088491,1591.83705374593,1773.50891198365,2005.18393452439
"gene-ACX60_RS00135_ACX60_RS00135",576.854641560173,674.476498134824,606.8187444618,520.683227909411,498.136965318117,597.39935873136
"gene-ACX60_RS00140_ACX60_RS00140",50.4473640908137,47.6977855034571,52.7668473445044,61.9577296368178,50.6380366635438,55.8438530988011
"gene-ACX60_RS00145_ACX60_RS00145",93.5835159945529,110.301128976745,103.504200560374,95.3195840566427,109.519474644409,150.648533940952
"gene-ACX60_RS00150_ACX60_RS00150",739.894673331934,830.984856818042,651.467615291765,406.29972704144,379.19646059677,755.840058220982
"gene-ACX60_RS00155_ppc",3489.64157689063,2813.42406680548,3480.58243060865,6709.30722278694,6036.52502179827,3766.21334852379
"gene-ACX60_RS00160_ACX60_RS00160",81.1544552765263,87.9427920219991,77.1207768881218,72.6811828431901,88.3221569712973,116.882483230049
"gene-ACX60_RS00165_ACX60_RS00165",164.502274209175,216.875868461032,222.229607085509,227.575506935235,256.723069596571,170.128947812626
