"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","WTL1.genes.results","WTL2.genes.results","WTL3.genes.results","WTD1.genes.results","WTD2.genes.results","WTD3.genes.results"
"gene-ACX60_RS00030_ACX60_RS00030",167.153034980056,-0.914250608612744,0.251969180620495,-3.62842235848577,0.000285158480023861,0.00228188506633813,127.946213273803,90.1786257174737,129.887624232626,160.851798095585,247.302039519632,246.751909041214
"gene-ACX60_RS00090_ACX60_RS00090",2615.41367386993,1.39643208616901,0.307144965542863,4.54649186159013,5.45474781198248e-06,8.54500112749968e-05,3684.85094228552,4564.08185036205,3123.39146396893,975.83424177988,1918.35724941658,1425.96629540659
"gene-ACX60_RS00155_ppc",4382.61561123563,-0.75516830390141,0.286836282038905,-2.63275028714457,0.00846965930658836,0.0348301784832671,3489.64157689063,2813.42406680548,3480.58243060865,6709.30722278694,6036.52502179827,3766.21334852379
"gene-ACX60_RS00175_ACX60_RS00175",170.165528033565,-0.880078864605812,0.219113807640877,-4.01653768003633,5.90594246577379e-05,0.000611604181959823,119.903879868021,137.131133322439,101.474706431739,222.809527732402,182.532457740681,257.141463106107
"gene-ACX60_RS00225_ACX60_RS00225",1506.59486099551,1.41038661094038,0.271123141451339,5.20201486081377,1.97139457641456e-07,5.28133749927871e-06,2102.70462500261,2036.09921867883,2430.31921904015,912.685017342354,1004.51733195355,553.243753955564
"gene-ACX60_RS00245_mutY",142.351851513843,-0.835174188688953,0.226047681981574,-3.69468149979539,0.000220162583743297,0.00186683732132791,102.356970619042,96.8861268038973,107.563188817644,139.40489168284,188.420601538768,219.479329620869
"gene-ACX60_RS00270_ACX60_RS00270",351.484531220801,1.41559434449038,0.319129606473663,4.43579760628448,9.17320039254743e-06,0.00012894799182984,590.014823496907,334.629776422691,609.862985654752,212.08607452603,240.236266961929,122.077260262495
"gene-ACX60_RS00325_hppD",8005.64313612782,-1.20987863827441,0.351713290320762,-3.43995712294808,0.000581806351027486,0.0040355311064702,5481.94689786842,5308.61447095508,3706.87102595143,15482.2834404002,11233.4007379894,6820.7422436024
"gene-ACX60_RS00330_ACX60_RS00330",478.474514121787,-0.765963069602077,0.219787524013482,-3.48501614475211,0.000492107348302446,0.00354643443796129,389.687609571068,291.403658310183,382.559643247657,641.024202780922,670.070764222242,496.101206598651
"gene-ACX60_RS00350_ACX60_RS00350",5012.39185365798,-1.5090644169699,0.378329047011085,-3.98876171124572,6.6419098775266e-05,0.000669093400972102,3284.92763565255,2455.69067552955,2078.20198772202,10987.9650521295,7048.10812630952,4219.45764460476
