,Number,Locus,PPEE,PPDE,PostFC,RealFC,D1,D2,D3,L1,L2,L3,New Locus,Gene,Product,ProteinID,Start,End,Chrom,Relation
0,1,gene-ACX60_RS00005_dnaA,,,1.242459640440369,1.2425761463391312,1355.90031894531,1297.76048575631,1414.29987340347,1117.98262267334,1199.79045818008,956.033045882307,A1S_0001,dnaA,chromosomal replication initiator protein DnaA,WP_000964767.1,90,1487,NZ_CP012004.1,Shared
1,2,gene-ACX60_RS00010_dnaN,0.590702207074529,0.409297792925471,-1.25751163320513,-1.2576074490987,1304.78937531248,1451.88350385818,1471.19699474729,1563.7454167883,1633.08082973088,2120.18212896348,A1S_0002,dnaN,DNA polymerase III subunit beta,WP_001237350.1,1585,2733,NZ_CP012004.1,Shared
2,3,gene-ACX60_RS00015_recF,0.931023866574894,0.0689761334251059,-1.14295499787461,-1.14315525690171,382.60192090864,273.996476625544,466.353191014507,433.844002828461,380.306494594862,469.56180892995,A1S_0003,recF,DNA replication/repair protein RecF,WP_000550808.1,2748,3830,NZ_CP012004.1,Shared
3,4,gene-ACX60_RS00020_gyrB,0.981080202657202,0.0189197973427979,1.1460509181848924,1.1460687185317366,5468.14081237559,3567.91064127611,5756.76945596558,4206.1414450045,4724.98440498199,3976.3170357309,A1S_0004,gyrB,DNA topoisomerase (ATP-hydrolyzing) subunit B,WP_000093728.1,3883,6351,NZ_CP012004.1,Shared
4,5,gene-ACX60_RS00025_cybC,0.883250948115798,0.116749051884202,-1.15513048661303,-1.15531750165653,485.553964511919,349.941152211972,469.401251086498,498.205475775541,521.596833144037,487.771962184851,A1S_0005,cybC,cytochrome b562,WP_000987637.1,6389,6781,NZ_CP012004.1,Shared
5,6,gene-ACX60_RS00030_ACX60_RS00030,0.0015205054433249,0.998479494556675,-1.87943008152985,-1.88340612318219,127.777359082084,90.0912328035078,130.050563071584,160.903682367699,247.258092461056,247.137794173658,A1S_0006,(),VTT domain-containing protein,WP_001009202.1,6867,7424,NZ_CP012004.1,Shared
6,7,gene-ACX60_RS00035_ACX60_RS00035,0.936663080181248,0.0633369198187524,-1.15751119177629,-1.15771544537881,379.681295558193,464.602721234619,368.81526871082,427.884607185213,400.322625889328,576.22127799437,A1S_0007,(),ATP-binding cassette domain-containing protein,WP_000613974.1,7675,9606,NZ_CP012004.1,Shared
7,8,gene-ACX60_RS00040_ACX60_RS00040,0.914598822962454,0.0854011770375457,-1.20880550183552,-1.21045191984986,77.3965717868623,58.0753401543273,64.0092615117951,102.501605063867,76.5322667141363,62.4348111596609,A1S_0008,(),DUF6091 family protein,WP_000746550.1,9863,10867,NZ_CP012004.1,Shared
8,9,gene-ACX60_RS00045_ACX60_RS00045,0.978069492767962,0.0219305072320382,-1.19233234712458,-1.19236376854416,3530.30589235358,2871.00655942418,3227.89561623767,5717.44418013222,3584.0649211974,2180.01548965816,A1S_0009,(),DUF6091 family protein,WP_000724999.1,11123,12130,NZ_CP012004.1,Shared
9,10,gene-ACX60_RS00050_ACX60_RS00050,0.917620851244759,0.0823791487552406,-1.16216898444455,-1.16324814842688,88.348916851041,67.7545635133819,80.2655818957431,109.652879835765,110.67743186352,54.6304597647033,A1S_0010,(),DUF6091 family protein,WP_001212536.1,12473,13477,NZ_CP012004.1,Shared
