,Number,Locus,PPEE,PPDE,PostFC,RealFC,D1,D2,D3,L1,L2,L3,New Locus,Gene,Product,ProteinID,Start,End,Chrom,Relation
0,1,gene-ACX60_RS00005_dnaA,,,1.329726639899082,1.3299131149893366,1271.42092853328,1383.0322476044,1030.86048704476,1001.00594670937,821.952675992128,948.127491310196,A1S_0001,dnaA,chromosomal replication initiator protein DnaA,WP_000964767.1,90,1487,NZ_CP012004.1,Shared
1,2,gene-ACX60_RS00010_dnaN,0.949955675198952,0.0500443248010476,-1.10639556020328,-1.10643595521272,1470.83010718295,1279.48424389199,1377.44289217188,1491.09623684586,1431.67986596989,1644.32611858093,A1S_0002,dnaN,DNA polymerase III subunit beta,WP_001237350.1,1585,2733,NZ_CP012004.1,Shared
2,3,gene-ACX60_RS00015_recF,0.965780927999206,0.0342190720007938,-1.101094464337,-1.10124330494727,242.889375498102,476.730908180909,344.8050594598,397.070320053924,393.459313753609,381.664686239427,A1S_0003,recF,DNA replication/repair protein RecF,WP_000550808.1,2748,3830,NZ_CP012004.1,Shared
3,4,gene-ACX60_RS00020_gyrB,0.988004986948506,0.0119950130514938,-1.10471299165214,-1.10472505225058,3502.40482199732,5131.26493644182,4973.01317715732,5890.80198597483,4361.73903637134,4779.10563638934,A1S_0004,gyrB,DNA topoisomerase (ATP-hydrolyzing) subunit B,WP_000093728.1,3883,6351,NZ_CP012004.1,Shared
4,5,gene-ACX60_RS00025_cybC,,,-1.71850429517255,-1.71930812595819,382.325868839605,494.159780092899,524.316971858974,882.995536903132,786.244895805585,739.192475325372,A1S_0005,cybC,cytochrome b562,WP_000987637.1,6389,6781,NZ_CP012004.1,Shared
5,6,gene-ACX60_RS00030_ACX60_RS00030,0.838355036417794,0.161644963582206,-1.23846561510898,-1.23948925696253,74.9658566352167,149.68325289121,140.410307718166,118.010409806236,173.822779021286,160.661221677861,A1S_0006,(),VTT domain-containing protein,WP_001009202.1,6867,7424,NZ_CP012004.1,Shared
6,7,gene-ACX60_RS00035_ACX60_RS00035,0.982132354182236,0.0178676458177644,-1.03006185302546,-1.03010154307992,476.033189633626,353.703577037448,357.246479131029,391.516889004219,429.167093940152,402.030193212677,A1S_0007,(),ATP-binding cassette domain-containing protein,WP_000613974.1,7675,9606,NZ_CP012004.1,Shared
7,8,gene-ACX60_RS00040_ACX60_RS00040,0.862180033271996,0.137819966728005,-1.33863939132327,-1.34107618075605,72.7168809361602,88.1695873194799,56.8750613541937,94.408327844989,107.12334055963,90.5133643255557,A1S_0008,(),DUF6091 family protein,WP_000746550.1,9863,10867,NZ_CP012004.1,Shared
8,9,gene-ACX60_RS00045_ACX60_RS00045,0.975948598656992,0.0240514013430084,-1.2489661415964,-1.24900506991945,3078.84773200835,3876.38615877853,3067.69862179183,2755.89015841622,5802.8511461641,3959.95968924306,A1S_0009,(),DUF6091 family protein,WP_000724999.1,11123,12130,NZ_CP012004.1,Shared
9,10,gene-ACX60_RS00050_ACX60_RS00050,0.882665294494375,0.117334705505625,-1.25711721436778,-1.25880260695575,84.7114179977949,77.9173097241915,76.4258636946978,83.3014657455785,116.55558438249,101.073256830204,A1S_0010,(),DUF6091 family protein,WP_001212536.1,12473,13477,NZ_CP012004.1,Shared
10,11,gene-ACX60_RS00055_erpA,0.626267660112601,0.373732339887399,-1.64651940011774,-1.64725367728264,251.885278294328,608.985289160128,518.984934857018,949.636709499595,609.053458276134,714.301300135844,A1S_0011,erpA,iron-sulfur cluster insertion protein ErpA,WP_000993572.1,13602,13937,NZ_CP012004.1,Shared
11,12,gene-ACX60_RS00060_ACX60_RS00060,1.0,6.89714365406397e-17,-1.19655968079149,-1.19838923031193,50.2271239455952,59.4632100526725,58.6524070215123,59.6993837843313,67.3731701632892,74.6735255685835,A1S_0012,(),alpha/beta hydrolase,WP_000366384.1,13993,14838,NZ_CP012004.1,Shared
12,13,gene-ACX60_RS00065_ACX60_RS00065,0.969330066591116,0.0306699334088841,1.0968057061450318,1.0968816787391973,946.818769302787,642.81780522458,600.742835553671,613.654130992429,656.888409092069,726.369748712585,A1S_0013,(),anhydro-N-acetylmuramic acid kinase,WP_001274576.1,14966,16093,NZ_CP012004.1,Shared
13,14,gene-ACX60_RS00070_tyrS,0.981161419537673,0.0188385804623271,1.06682395982078,1.066853554167925,1683.73314002697,877.594962156683,1213.92709077857,1182.88081358722,1146.69135617918,1209.10769178221,A1S_0014,tyrS,tyrosine--tRNA ligase,WP_000335558.1,16155,17387,NZ_CP012004.1,Shared
14,15,gene-ACX60_RS00075_ACX60_RS00075,0.0664774225334103,0.93352257746659,-22.6383786039175,-22.6437424808507,1112.99558370607,3643.32113220484,1565.84153290765,4769.9391136352,4422.59722097984,133965.436287093,,,,,,,,Shared
15,16,gene-ACX60_RS00080_ACX60_RS00080,0.999999999999993,7.0295458378329304e-15,-1.07170995638038,-4.81781297591972,0.0,0.0,0.0,0.0,0.114534389277592,0.0,,,,,,,,Shared
16,18,gene-ACX60_RS00090_ACX60_RS00090,0.506324243385913,0.493675756614087,-12.2279643966268,-12.2289381108565,6450.43713417722,7697.4100185425,3923.49056060571,9666.67694171279,8726.84673125085,202600.083671823,,,,,,,,Shared
17,19,gene-ACX60_RS00095_rrf,0.0502968259788186,0.949703174021181,-10.9889312373679,-12.9347361183546,3.12607622168854,3.41400843923102,1.4751969038744,8.78830463615854,9.88364406295452,85.3616453393595,,,,,,,,Shared
18,20,gene-ACX60_RS00100_ACX60_RS00100,0.356895500619482,0.643104499380518,-1.41752857757134,-1.41832480569681,177.669080225464,265.533989717968,378.574627138852,316.545569833198,456.7900937071,392.224578744075,A1S_3460,(),glutathione S-transferase family protein,WP_000587876.1,23775,24374,NZ_CP012004.1,Shared
19,21,gene-ACX60_RS00105_ACX60_RS00105,0.964014176016244,0.035985823983756,1.0834393514684924,1.0834936869549874,837.368618615371,860.166090244693,910.0009816671,971.850433698416,680.469018649221,754.278036046298,A1S_3459,(),TIGR04219 family outer membrane beta-barrel protein,WP_000698062.1,24432,25124,NZ_CP012004.1,Shared
20,22,gene-ACX60_RS00110_ACX60_RS00110,0.991364826044333,0.0086351739556665,1.054259447376542,1.054266109007438,3043.6137793898,4847.27684705233,5566.64663004171,4589.91076258138,4131.99652611452,4042.93027320815,A1S_3458,(),sodium-dependent transporter,WP_000132725.1,25753,27231,NZ_CP012004.1,Shared
21,23,gene-ACX60_RS00115_ACX60_RS00115,0.940997916294666,0.0590020837053336,1.1305112852401316,1.132216280112076,54.7250753437082,34.8577438239804,46.2109873502824,52.7575949721997,43.792560606138,23.3826191174352,A1S_3914,(),methionine/alanine import family NSS transporter small subunit,WP_001097630.1,27244,27387,NZ_CP012004.1,Shared
22,24,gene-ACX60_RS00120_rsmB,0.980252949803218,0.0197470501967821,-1.07836321330511,-1.07843729316897,693.434173875755,461.352491787976,502.988823851151,583.11026021905,629.939141026754,574.759863467279,A1S_3457,rsmB,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,WP_001077672.1,27431,28735,NZ_CP012004.1,Shared
23,25,gene-ACX60_RS00125_fmt,0.977848916428387,0.0221510835716131,-1.07237301450311,-1.07244511013471,615.469682975129,404.96496501389,552.754502536071,552.566389445671,604.337336364704,530.257459340547,A1S_3456,fmt,methionyl-tRNA formyltransferase,WP_000691200.1,28732,29694,NZ_CP012004.1,Shared
24,26,gene-ACX60_RS00130_ilvD,0.988564704654871,0.0114352953451289,-1.01794282963032,-1.01794734195041,2034.57334907978,1827.98109523991,2369.20177453563,2568.46186048867,1829.85530163493,1945.2830549634,A1S_3455,ilvD,dihydroxy-acid dehydratase,WP_001113592.1,30043,31872,NZ_CP012004.1,Shared
25,27,gene-ACX60_RS00135_ACX60_RS00135,0.0588629277413779,0.941137072258622,1.2173169533696233,1.217529744102441,724.919833662546,640.767349705522,582.969378880486,584.498617981476,498.56145920834,517.43473272776,A1S_3454,(),hypothetical protein,WP_000055250.1,32186,33475,NZ_CP012004.1,Shared
26,28,gene-ACX60_RS00140_ACX60_RS00140,1.0,1.1672035485892401e-17,1.1388215029740463,1.1400965430163619,56.2243924764125,70.7407154074897,67.5391353581051,56.9226682594787,58.6146580420616,55.0622966313797,A1S_3453,(),sulfite exporter TauE/SafE family protein,WP_000143320.1,33554,34285,NZ_CP012004.1,Shared
