,Number,Locus,PPEE,PPDE,PostFC,RealFC,D1,D2,D3,L1,L2,L3,New Locus,Gene,Product,ProteinID,Start,End,Chrom,Relation
0,6,gene-ACX60_RS00030_ACX60_RS00030,0.0015205054433249,0.998479494556675,-1.87943008152985,-1.88340612318219,127.777359082084,90.0912328035078,130.050563071584,160.903682367699,247.258092461056,247.137794173658,A1S_0006,(),VTT domain-containing protein,WP_001009202.1,6867,7424,NZ_CP012004.1,WT only
1,18,gene-ACX60_RS00090_ACX60_RS00090,3.96503063559983e-06,0.999996034969364,2.629993904982122,2.630587311418439,3680.11206814141,4559.53218329839,3127.48235726607,975.755686251583,1917.8161844921,1427.545942661,,,,,,,,WT only
2,35,gene-ACX60_RS00175_ACX60_RS00175,7.88634782855624e-06,0.999992113652171,-1.84617299315033,-1.84988736844574,119.745639368353,136.998238312772,101.602002399675,222.881397057479,182.500020626017,257.543596033601,A1S_3444,(),hypothetical protein,WP_000529425.1,44856,45233,NZ_CP012004.1,WT only
3,45,gene-ACX60_RS00225_ACX60_RS00225,0.0,1.0,2.6562661554121574,2.657320402550431,2099.92962697185,2034.12601668746,2433.36795747221,912.979412545608,1004.33882318705,554.10894904199,A1S_3436,(),NAD(P)-dependent alcohol dehydrogenase,WP_000069827.1,53561,54589,NZ_CP012004.1,WT only
4,52,gene-ACX60_RS00260_ACX60_RS00260,0.0020596208764165,0.997940379123583,5.225411245869654,5.23220028941987,1470.53486395038,1227.02769967092,2425.23979728024,359.947496852185,584.000066003256,35.1195812773092,A1S_3910,(),DUF1328 domain-containing protein,WP_000490267.1,58690,58848,NZ_CP012004.1,Shared
5,54,gene-ACX60_RS00270_ACX60_RS00270,0.0210715871665397,0.97892841283346,2.665257206515934,2.6698159604673006,589.23616445281,334.305483708884,610.628034422046,212.154484899632,240.193575533597,122.268171854336,A1S_3428,(),PQQ-dependent sugar dehydrogenase,WP_000986272.1,59611,60783,NZ_CP012004.1,WT only
6,75,gene-ACX60_RS00375_ACX60_RS00375,0.0001047901360713,0.999895209863929,-3.52647312534211,-3.59564155440785,19.7142211155215,16.3802241460923,21.3364205039317,47.6751651459847,60.0483938833993,98.8551176694631,A1S_3408,(),HutD family protein,WP_000571159.1,81402,81977,NZ_CP012004.1,WT only
7,76,gene-ACX60_RS00380_hutU,0.0,1.0,-11.2450067822193,-11.2465979168917,3072.49786867091,4070.48570030394,2986.08285052644,49144.7521116097,25229.744786931,39543.3477930177,A1S_3406,hutU,urocanate hydratase,WP_000214181.1,82229,83905,NZ_CP012004.1,WT only
8,77,gene-ACX60_RS00385_hutH,0.0,1.0,-15.5297443031919,-15.5337764535352,2016.69180448409,1865.85644136852,1786.16320218628,35467.9391103553,20350.5184290328,32238.4748873374,A1S_3405,hutH,histidine ammonia-lyase,WP_000421600.1,83993,85531,NZ_CP012004.1,WT only
9,78,gene-ACX60_RS00390_ACX60_RS00390,0.0,1.0,-18.764574506034,-18.7755658040027,922.917610741453,754.979422006255,864.633040421233,19860.2819206886,12203.952992185,15673.7390515399,A1S_3404,(),amino acid permease,WP_000081464.1,85596,87008,NZ_CP012004.1,WT only
