,Query,Subject,% alignment,length,# of mismatches,# of gaps,qstart,qend,sstart,send,E-value,bitscore,Subject_Loc,Query_Loc
0,lcl|NZ_CP012004.1_cds_WP_000964767.1_1,lcl|CP000521.1_cds_ABO10498.2_1,100.0,1398,0,0,1,1398,1,1398,0.0,2582.0,A1S_0001,ACX60_RS00005
1,lcl|NZ_CP012004.1_cds_WP_001237350.1_2,lcl|CP000521.1_cds_ABO10499.2_2,100.0,1149,0,0,1,1149,1,1149,0.0,2122.0,A1S_0002,ACX60_RS00010
2,lcl|NZ_CP012004.1_cds_WP_000550808.1_3,lcl|CP000521.1_cds_ABO10500.2_3,100.0,1083,0,0,1,1083,1,1083,0.0,2001.0,A1S_0003,ACX60_RS00015
3,lcl|NZ_CP012004.1_cds_WP_000093728.1_4,lcl|CP000521.1_cds_ABO10501.2_4,100.0,2469,0,0,1,2469,1,2469,0.0,4560.0,A1S_0004,ACX60_RS00020
4,lcl|NZ_CP012004.1_cds_WP_000987637.1_5,lcl|CP000521.1_cds_ABO10502.2_5,100.0,390,0,0,4,393,1,390,0.0,721.0,A1S_0005,ACX60_RS00025
5,lcl|NZ_CP012004.1_cds_WP_001009202.1_6,lcl|CP000521.1_cds_ABO10503.2_6,100.0,558,0,0,1,558,1,558,0.0,1031.0,A1S_0006,ACX60_RS00030
6,lcl|NZ_CP012004.1_cds_WP_000613974.1_7,lcl|CP000521.1_cds_ABO10504.2_7,100.0,1932,0,0,1,1932,1,1932,0.0,3568.0,A1S_0007,ACX60_RS00035
7,lcl|NZ_CP012004.1_cds_WP_000746550.1_8,lcl|CP000521.1_cds_ABO10505.2_8,100.0,1005,0,0,1,1005,1,1005,0.0,1857.0,A1S_0008,ACX60_RS00040
8,lcl|NZ_CP012004.1_cds_WP_000724999.1_9,lcl|CP000521.1_cds_ABO10506.2_9,100.0,1008,0,0,1,1008,1,1008,0.0,1862.0,A1S_0009,ACX60_RS00045
9,lcl|NZ_CP012004.1_cds_WP_001212536.1_10,lcl|CP000521.1_cds_ABO10507.2_10,100.0,1005,0,0,1,1005,1,1005,0.0,1857.0,A1S_0010,ACX60_RS00050
10,lcl|NZ_CP012004.1_cds_WP_000993572.1_11,lcl|CP000521.1_cds_ABO10508.2_11,100.0,336,0,0,1,336,1,336,7.870000000000001e-179,621.0,A1S_0011,ACX60_RS00055
11,lcl|NZ_CP012004.1_cds_WP_000366384.1_12,lcl|CP000521.1_cds_ABO10509.2_12,100.0,846,0,0,1,846,1,846,0.0,1563.0,A1S_0012,ACX60_RS00060
12,lcl|NZ_CP012004.1_cds_WP_001274576.1_13,lcl|CP000521.1_cds_ABO10510.2_13,100.0,1128,0,0,1,1128,1,1128,0.0,2084.0,A1S_0013,ACX60_RS00065
13,lcl|NZ_CP012004.1_cds_WP_000335558.1_14,lcl|CP000521.1_cds_ABO10511.2_14,100.0,1215,0,0,19,1233,1,1215,0.0,2244.0,A1S_0014,ACX60_RS00070
14,lcl|NZ_CP012004.1_cds_WP_000587876.1_15,lcl|CP000521.1_cds_ABO13849.1_3787,100.0,600,0,0,1,600,1,600,0.0,1109.0,A1S_3460,ACX60_RS00100
15,lcl|NZ_CP012004.1_cds_WP_000698062.1_16,lcl|CP000521.1_cds_ABO13848.2_3786,100.0,693,0,0,1,693,34,726,0.0,1280.0,A1S_3459,ACX60_RS00105
16,lcl|NZ_CP012004.1_cds_WP_000132725.1_17,lcl|CP000521.1_cds_ABO13847.2_3784,100.0,1479,0,0,1,1479,1,1479,0.0,2732.0,A1S_3458,ACX60_RS00110
17,lcl|NZ_CP012004.1_cds_WP_001097630.1_18,lcl|CP000521.1_cds_ABS90339.2_3783,100.0,144,0,0,1,144,1,144,1.67e-72,267.0,A1S_3914,ACX60_RS00115
18,lcl|NZ_CP012004.1_cds_WP_001077672.1_19,lcl|CP000521.1_cds_ABO13846.2_3782,100.0,1305,0,0,1,1305,1,1305,0.0,2410.0,A1S_3457,ACX60_RS00120
19,lcl|NZ_CP012004.1_cds_WP_000691200.1_20,lcl|CP000521.1_cds_ABO13845.2_3781,100.0,963,0,0,1,963,1,963,0.0,1779.0,A1S_3456,ACX60_RS00125
20,lcl|NZ_CP012004.1_cds_WP_001113592.1_21,lcl|CP000521.1_cds_ABO13844.2_3780,100.0,1830,0,0,1,1830,1,1830,0.0,3380.0,A1S_3455,ACX60_RS00130
21,lcl|NZ_CP012004.1_cds_WP_000055250.1_22,lcl|CP000521.1_cds_ABO13843.2_3779,100.0,1290,0,0,1,1290,1,1290,0.0,2383.0,A1S_3454,ACX60_RS00135
22,lcl|NZ_CP012004.1_cds_WP_000143320.1_23,lcl|CP000521.1_cds_ABO13842.2_3778,100.0,732,0,0,1,732,1,732,0.0,1352.0,A1S_3453,ACX60_RS00140
23,lcl|NZ_CP012004.1_cds_WP_001209842.1_24,lcl|CP000521.1_cds_ABO13841.2_3777,100.0,891,0,0,1,891,1,891,0.0,1646.0,A1S_3452,ACX60_RS00145
24,lcl|NZ_CP012004.1_cds_WP_000073451.1_25,lcl|CP000521.1_cds_ABO13839.1_3775,99.841,628,0,1,124,751,1,627,0.0,1153.0,A1S_3450,ACX60_RS00150
25,lcl|NZ_CP012004.1_cds_WP_000073451.1_25,lcl|CP000521.1_cds_ABO13840.1_3776,100.0,387,0,0,910,1296,1,387,0.0,715.0,A1S_3451,ACX60_RS00150
26,lcl|NZ_CP012004.1_cds_WP_000250585.1_26,lcl|CP000521.1_cds_ABO13838.1_3774,100.0,2685,0,0,1,2685,1,2685,0.0,4959.0,A1S_3449,ACX60_RS00155
27,lcl|NZ_CP012004.1_cds_WP_001195317.1_27,lcl|CP000521.1_cds_ABO13837.2_3773,100.0,624,0,0,1,624,1,624,0.0,1153.0,A1S_3448,ACX60_RS00160
28,lcl|NZ_CP012004.1_cds_WP_001050652.1_28,lcl|CP000521.1_cds_ABO13836.2_3772,100.0,1056,0,0,46,1101,1,1056,0.0,1951.0,A1S_3447,ACX60_RS00165
29,lcl|NZ_CP012004.1_cds_WP_000671288.1_29,lcl|CP000521.1_cds_ABO13834.1_3770,100.0,1503,0,0,1624,3126,1,1503,0.0,2776.0,A1S_3445,ACX60_RS00170
30,lcl|NZ_CP012004.1_cds_WP_000671288.1_29,lcl|CP000521.1_cds_ABO13835.1_3771,99.713,1396,0,3,139,1534,1,1392,0.0,2553.0,A1S_3446,ACX60_RS00170
31,lcl|NZ_CP012004.1_cds_WP_000529425.1_30,lcl|CP000521.1_cds_ABO13833.2_3769,100.0,378,0,0,1,378,1,378,0.0,699.0,A1S_3444,ACX60_RS00175
32,lcl|NZ_CP012004.1_cds_WP_001119029.1_31,lcl|CP000521.1_cds_ABO13832.2_3768,100.0,1113,0,0,1,1113,1,1113,0.0,2056.0,A1S_3443,ACX60_RS00180
33,lcl|NZ_CP012004.1_cds_WP_000555686.1_32,lcl|CP000521.1_cds_ABS90338.2_3767,100.0,348,0,0,1,348,1,348,0.0,643.0,A1S_3913,ACX60_RS00185
34,lcl|NZ_CP012004.1_cds_WP_001271389.1_33,lcl|CP000521.1_cds_ABO13831.2_3766,100.0,822,0,0,1,822,1,822,0.0,1519.0,A1S_3442,ACX60_RS00190
